Time resolution is 1 ps
A=190 B= 93 Cin=0 | Sum=00011011 Cout=1
A=190 B= 93 Cin=1 | Sum=00011000 Cout=1
A=190 B= 94 Cin=0 | Sum=00011100 Cout=1
A=190 B= 94 Cin=1 | Sum=00011101 Cout=1
A=190 B= 95 Cin=0 | Sum=00011101 Cout=1
A=190 B= 95 Cin=1 | Sum=00011110 Cout=1
A=190 B= 96 Cin=0 | Sum=00011110 Cout=1
A=190 B= 96 Cin=1 | Sum=00011111 Cout=1
A=190 B= 97 Cin=0 | Sum=00011111 Cout=1
A=190 B= 97 Cin=1 | Sum=00110100 Cout=1
A=190 B= 98 Cin=0 | Sum=00100000 Cout=1
A=190 B= 98 Cin=1 | Sum=00100001 Cout=1
A=190 B= 99 Cin=0 | Sum=00100001 Cout=1
A=190 B= 99 Cin=1 | Sum=00100010 Cout=1
A=190 B=100 Cin=0 | Sum=00100010 Cout=1
A=190 B=100 Cin=1 | Sum=00100011 Cout=1
A=190 B=101 Cin=0 | Sum=00100011 Cout=1
A=190 B=101 Cin=1 | Sum=00100000 Cout=1
A=190 B=102 Cin=0 | Sum=00100100 Cout=1
A=190 B=102 Cin=1 | Sum=00100101 Cout=1
A=190 B=103 Cin=0 | Sum=00100101 Cout=1
A=190 B=103 Cin=1 | Sum=00100110 Cout=1
A=190 B=104 Cin=0 | Sum=00100110 Cout=1
A=190 B=104 Cin=1 | Sum=00100111 Cout=1
A=190 B=105 Cin=0 | Sum=00100111 Cout=1
A=190 B=105 Cin=1 | Sum=00101100 Cout=1
A=190 B=106 Cin=0 | Sum=00101000 Cout=1
A=190 B=106 Cin=1 | Sum=00101001 Cout=1
A=190 B=107 Cin=0 | Sum=00101001 Cout=1
A=190 B=107 Cin=1 | Sum=00101010 Cout=1
A=190 B=108 Cin=0 | Sum=00101010 Cout=1
A=190 B=108 Cin=1 | Sum=00101011 Cout=1
A=190 B=109 Cin=0 | Sum=00101011 Cout=1
A=190 B=109 Cin=1 | Sum=00101000 Cout=1
A=190 B=110 Cin=0 | Sum=00101100 Cout=1
A=190 B=110 Cin=1 | Sum=00101101 Cout=1
A=190 B=111 Cin=0 | Sum=00101101 Cout=1
A=190 B=111 Cin=1 | Sum=00101110 Cout=1
A=190 B=112 Cin=0 | Sum=00101110 Cout=1
A=190 B=112 Cin=1 | Sum=00101111 Cout=1
A=190 B=113 Cin=0 | Sum=00101111 Cout=1
A=190 B=113 Cin=1 | Sum=00100100 Cout=1
A=190 B=114 Cin=0 | Sum=00110000 Cout=1
A=190 B=114 Cin=1 | Sum=00110001 Cout=1
A=190 B=115 Cin=0 | Sum=00110001 Cout=1
A=190 B=115 Cin=1 | Sum=00110010 Cout=1
A=190 B=116 Cin=0 | Sum=00110010 Cout=1
A=190 B=116 Cin=1 | Sum=00110011 Cout=1
A=190 B=117 Cin=0 | Sum=00110011 Cout=1
A=190 B=117 Cin=1 | Sum=00110000 Cout=1
A=190 B=118 Cin=0 | Sum=00110100 Cout=1
A=190 B=118 Cin=1 | Sum=00110101 Cout=1
A=190 B=119 Cin=0 | Sum=00110101 Cout=1
A=190 B=119 Cin=1 | Sum=00110110 Cout=1
A=190 B=120 Cin=0 | Sum=00110110 Cout=1
A=190 B=120 Cin=1 | Sum=00110111 Cout=1
A=190 B=121 Cin=0 | Sum=00110111 Cout=1
A=190 B=121 Cin=1 | Sum=00111100 Cout=1
A=190 B=122 Cin=0 | Sum=00111000 Cout=1
A=190 B=122 Cin=1 | Sum=00111001 Cout=1
A=190 B=123 Cin=0 | Sum=00111001 Cout=1
A=190 B=123 Cin=1 | Sum=00111010 Cout=1
A=190 B=124 Cin=0 | Sum=00111010 Cout=1
A=190 B=124 Cin=1 | Sum=00111011 Cout=1
A=190 B=125 Cin=0 | Sum=00111011 Cout=1
A=190 B=125 Cin=1 | Sum=00111000 Cout=1
A=190 B=126 Cin=0 | Sum=00111100 Cout=1
A=190 B=126 Cin=1 | Sum=00111101 Cout=1
A=190 B=127 Cin=0 | Sum=00111101 Cout=1
A=190 B=127 Cin=1 | Sum=00111110 Cout=1
A=190 B=128 Cin=0 | Sum=00111110 Cout=1
A=190 B=128 Cin=1 | Sum=00111111 Cout=1
A=190 B=129 Cin=0 | Sum=00111111 Cout=1
A=190 B=129 Cin=1 | Sum=00010100 Cout=1
A=190 B=130 Cin=0 | Sum=01000000 Cout=1
A=190 B=130 Cin=1 | Sum=01000001 Cout=1
A=190 B=131 Cin=0 | Sum=01000001 Cout=1
A=190 B=131 Cin=1 | Sum=01000010 Cout=1
A=190 B=132 Cin=0 | Sum=01000010 Cout=1
A=190 B=132 Cin=1 | Sum=01000011 Cout=1
A=190 B=133 Cin=0 | Sum=01000011 Cout=1
A=190 B=133 Cin=1 | Sum=01000000 Cout=1
A=190 B=134 Cin=0 | Sum=01000100 Cout=1
A=190 B=134 Cin=1 | Sum=01000101 Cout=1
A=190 B=135 Cin=0 | Sum=01000101 Cout=1
A=190 B=135 Cin=1 | Sum=01000110 Cout=1
A=190 B=136 Cin=0 | Sum=01000110 Cout=1
A=190 B=136 Cin=1 | Sum=01000111 Cout=1
A=190 B=137 Cin=0 | Sum=01000111 Cout=1
A=190 B=137 Cin=1 | Sum=01001100 Cout=1
A=190 B=138 Cin=0 | Sum=01001000 Cout=1
A=190 B=138 Cin=1 | Sum=01001001 Cout=1
A=190 B=139 Cin=0 | Sum=01001001 Cout=1
A=190 B=139 Cin=1 | Sum=01001010 Cout=1
A=190 B=140 Cin=0 | Sum=01001010 Cout=1
A=190 B=140 Cin=1 | Sum=01001011 Cout=1
A=190 B=141 Cin=0 | Sum=01001011 Cout=1
A=190 B=141 Cin=1 | Sum=01001000 Cout=1
A=190 B=142 Cin=0 | Sum=01001100 Cout=1
A=190 B=142 Cin=1 | Sum=01001101 Cout=1
A=190 B=143 Cin=0 | Sum=01001101 Cout=1
A=190 B=143 Cin=1 | Sum=01001110 Cout=1
A=190 B=144 Cin=0 | Sum=01001110 Cout=1
A=190 B=144 Cin=1 | Sum=01001111 Cout=1
A=190 B=145 Cin=0 | Sum=01001111 Cout=1
A=190 B=145 Cin=1 | Sum=01000100 Cout=1
A=190 B=146 Cin=0 | Sum=01010000 Cout=1
A=190 B=146 Cin=1 | Sum=01010001 Cout=1
A=190 B=147 Cin=0 | Sum=01010001 Cout=1
A=190 B=147 Cin=1 | Sum=01010010 Cout=1
A=190 B=148 Cin=0 | Sum=01010010 Cout=1
A=190 B=148 Cin=1 | Sum=01010011 Cout=1
A=190 B=149 Cin=0 | Sum=01010011 Cout=1
A=190 B=149 Cin=1 | Sum=01010000 Cout=1
A=190 B=150 Cin=0 | Sum=01010100 Cout=1
A=190 B=150 Cin=1 | Sum=01010101 Cout=1
