Time resolution is 1 ps
Time=646000 | PC=  63 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=656000 | PC=  64 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=666000 | PC=  65 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=676000 | PC=  66 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=686000 | PC=  67 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=696000 | PC=  68 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=706000 | PC=  69 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=716000 | PC=  70 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=726000 | PC=  71 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=736000 | PC=  72 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=746000 | PC=  73 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=756000 | PC=  74 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=766000 | PC=  75 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=776000 | PC=  76 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=786000 | PC=  77 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=796000 | PC=  78 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=806000 | PC=  79 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=816000 | PC=  80 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=826000 | PC=  81 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=836000 | PC=  82 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=846000 | PC=  83 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=856000 | PC=  84 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=866000 | PC=  85 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=876000 | PC=  86 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=886000 | PC=  87 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=896000 | PC=  88 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=906000 | PC=  89 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=916000 | PC=  90 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=926000 | PC=  91 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=936000 | PC=  92 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=946000 | PC=  93 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=956000 | PC=  94 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=966000 | PC=  95 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=976000 | PC=  96 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=986000 | PC=  97 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
Time=996000 | PC=  98 | Instr=xxxx | op1=xx | op2=xx | Result=xX | RegWrite=0
$finish called at time : 1 us : File "D:/VeriLogProjects/RISCVP/RISCVP.srcs/sim_1/new/testbench.v" Line 37
